Continent,Country,GII Category,Id (copy),Index,UNDP Developing Regions,X,Y,0,1,100,GII 2021,GII Final,GII Rank (2021),Size,World Avg
Oceania,Fiji,Medium,Fiji,51,East Asia & Pacific,550.691000924,257.511480218,0,1,100,0.318,31.8,77,893468,46.5
Europe,France,Very Low,France,52,Europe and Central Asia,250.168255566,187.651699957,0,1,100,0.083,8.3,22,68184000,46.5
Africa,Gabon,High,Gabon,53,Sub-Saharan Africa,839.062799112,238.239454865,0,1,100,0.541,54.1,140,2233272,46.5
Europe,United Kingdom,Very Low,United Kingdom,54,Europe and Central Asia,272.052571037,233.264282498,0,1,100,0.098,9.8,27,67026292,46.5
Asia,Georgia,Low,Georgia,55,Europe and Central Asia,493.143224682,236.619531351,0,1,100,0.28,28.0,66,3736400,46.5
Africa,Ghana,High,Ghana,56,Sub-Saharan Africa,811.590255538,367.808471784,0,1,100,0.529,52.9,130,30832019,46.5
Africa,Guinea,High,Guinea,57,Sub-Saharan Africa,933.586789894,219.829726620,0,1,100,0.621,62.1,157,13261638,46.5
Africa,Gambia,High,Gambia,58,Sub-Saharan Africa,917.054127728,261.603287480,0,1,100,0.611,61.1,153,2417471,46.5
Africa,Guinea-Bissau,High,Guinea-Bissau,59,Sub-Saharan Africa,939.817101188,293.990234168,0,1,100,0.627,62.7,159,1781308,46.5
Europe,Greece,Very Low,Greece,60,Europe and Central Asia,294.832765726,210.298117472,0,1,100,0.119,11.9,32,10482487,46.5
America,Guatemala,Medium,Guatemala,61,Americas,747.701985420,200.160696535,0,1,100,0.481,48.1,121,17602431,46.5
America,Guyana,Medium,Guyana,62,Americas,717.974607859,119.873124509,0,1,100,0.454,45.4,114,743699,46.5
America,Honduras,Medium,Honduras,63,Americas,690.915440191,278.455231842,0,1,100,0.431,43.1,107,9745149,46.5
Europe,Croatia,Very Low,Croatia,64,Europe and Central Asia,264.109246238,258.341640298,0,1,100,0.093,9.3,26,3855641,46.5
America,Haiti,High,Haiti,65,Americas,954.807286633,224.235325205,0,1,100,0.635,63.5,163,11743017,46.5
Europe,Hungary,Low,Hungary,66,Europe and Central Asia,425.116785164,342.089025485,0,1,100,0.221,22.1,55,9597085,46.5
Asia,Indonesia,Medium,Indonesia,67,East Asia & Pacific,703.255956107,201.363056990,0,1,100,0.444,44.4,110,279118866,46.5
Asia,India,Medium,India,68,South Asia,762.460653107,272.103071514,0,1,100,0.49,49.0,122,1392329000,46.5
Europe,Ireland,Very Low,Ireland,69,Europe and Central Asia,245.367291461,230.694719706,0,1,100,0.074,7.4,21,5281600,46.5
Asia,Iran,Medium,Iran,70,South Asia,735.295401798,162.917931181,0,1,100,0.459,45.9,115,85340000,46.5
Asia,Iraq,High,Iraq,71,Middle East & North Africa,861.873060726,251.163594222,0,1,100,0.558,55.8,145,43324000,46.5
Europe,Iceland,Very Low,Iceland,72,Europe and Central Asia,190.802514014,218.988644507,0,1,100,0.043,4.3,8,396960,46.5
Asia,Israel,Very Low,Israel,73,Middle East & North Africa,260.791479337,276.750963011,0,1,100,0.083,8.3,22,9802400,46.5
Europe,Italy,Very Low,Italy,74,Europe and Central Asia,206.800525909,236.229012923,0,1,100,0.056,5.6,13,58780965,46.5
America,Jamaica,Medium,Jamaica,75,Americas,567.374722799,253.748996952,0,1,100,0.335,33.5,80,2825544,46.5
Asia,Jordan,Medium,Jordan,76,Middle East & North Africa,740.286061716,340.845959940,0,1,100,0.471,47.1,118,11497000,46.5
Asia,Japan,Very Low,Japan,77,East Asia & Pacific,252.224960840,312.302410841,0,1,100,0.083,8.3,22,124340000,46.5
Asia,Kazakhstan,Low,Kazakhstan,78,Europe and Central Asia,337.794282463,161.948889854,0,1,100,0.161,16.1,41,19944726,46.5
Africa,Kenya,High,Kenya,79,Sub-Saharan Africa,789.268053515,345.270574979,0,1,100,0.506,50.6,128,51526000,46.5
Asia,Kyrgyzstan,Medium,Kyrgyzstan,80,Europe and Central Asia,612.838201005,214.455640400,0,1,100,0.37,37.0,87,7100000,46.5
